,"SC-superconducting, NM-normal, TS-transitional",,,,,,,Beam Parameters,,,Laser Parameters,,,Channel assignments,,,,,,,
Series Number,Type,Voltage (V),#Traces (neutron assumed 3600),Seconds of DAQ,Rad source?,Fridge Temp (mK),PMT Series,Beam Current (nA),Beam B Field (mT),Terminal Voltage (MV),Laser Pulse Freq (MHz),Laser Burst Freq (Hz),Laser Power,CH2&3,CH1,CH4,CHD0 ,CHD1,CHD2,"Bias (percentage, CH2, CH3)",Comment
20190705135751,Beam,100,,3600,Neutron,52,20190705135755,560,198.174,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1140, 1152",
20190705150304,Beam,100,,3600,Neutron,52,20190705150309,575,198.18,0.939,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1140, 1152",
20190705160429,Beam,100,,3600,Neutron,52,20190705160434,575,198.174,0.939,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1140, 1152",
20190705170508,Beam,100,,3272,Neutron,52,20190705170515,590,198.172,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1140, 1152",
20190705180350,Beam,100,,3600,Neutron,52,20190705180356,560,198.175,0.939,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1140, 1152",
20190705190710,Beam,100,,244,Neutron,52,20190705190706,520,198.171,0.939,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1140, 1152",
20190705191828,Beam,100,,313,Neutron,52,20190705191836,510,198.172,0.939,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1140, 1152",
20190705193102,Beam,100,,322,Neutron,52,20190705193058,460,198.174,0.939,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1140, 1152",
20190705195516,Beam,100,,3598,Neutron,52,20190705195523,510,198.176,0.939,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1140, 1152",
20190705205559,Beam,100,,486,Neutron,52,20190705205608,560,198.172,0.939,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1140, 1152",
20190705210415,Beam,100,,659,Neutron,52,-----,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1140, 1152","Elog died, data taken manually."
20190705212359,Beam,100,,33,Neutron,52,20190705212402,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1140, 1152","Elog died, data taken manually."
20190705212443,Beam,100,,95,Neutron,52,------,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1140, 1152","Elog died, data taken manually."
20190705212902,Beam,100,,3600,Neutron,52,20190705212903,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1140, 1152","Elog died, data taken manually."
20190706124510,SC noise,100,,10,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,,
20190706124543,NM noise,100,,10,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,,
20190706124615,TS noise,100,,10,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"1140, 1152",
20190706124721,Laser,100,,600,No,52,,,,,1,101,40,TES,Triangle,N/C,N/C,N/C,Time sync,"1140, 1152",
20190706125727,Laser,100,,600,No,52,,,,,1,101,20,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1140, 1152",
20190706131614,Beam,20,,3600,Neutron,52,20190706131616,540,198.179,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"1140, 1152",
20190706141654,Beam,20,,3600,Neutron,52,20190706141655,580,198.171,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"1140, 1152",
20190706151700,Beam,20,,361,Neutron,52,20190706151702,550,198.178,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"1140, 1152",Only 360 files
20190706152308,Beam,20,,3239,Neutron,52,20190706161806,580,198.181,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"1140, 1152",Only 3238 files
20190706162033,Beam,20,,3600,Neutron,52,20190706162036,560,198.175,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"1140, 1152",
20190706172047,Beam,20,,3600,Neutron,52,20190706172051,500,198.176,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"1140, 1152",
20190706182100,Beam,20,,3600,Neutron,52,20190706182103,560,198.175,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"1140, 1152",
20190706193810,Beam,20,,3600,Neutron,52,20190706193813,550,198.18,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"1140, 1152",
20190706203821,Beam,20,,3600,Neutron,52,20190706203823,550,198.175,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"1140, 1152",
20190706213837,Beam,20,,3600,Neutron,52,20190706213840,550,198.178,0.94,,,,,,,,,,,
20190707090746,IV curve,100,,0,No,52,,,,,,,,,,,,,,,
20190707092612,SC noise,100,,11,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1143, 1156",
20190707093003,NM noise,100,,10,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1143, 1156",
20190707093423,TS noise,100,,10,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1143, 1156",
20190707094142,TS noise,100,,10,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1143, 1156",
20190707094517,Laser,100,600,600,No,52,,,,,1,101,40,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1143, 1156",
20190707095533,Laser,100,600,600,No,52,,,,,1,101,20,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1143, 1156",
20190707100537,Laser,100,600,600,No,52,,,,,1,101,10,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1143, 1156",
20190707101645,Laser,20,600,600,No,52,,,,,1,101,20,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1143, 1156",
20190707103925,Laser,20,1800,1800,No,52,,,,,1,101,20,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1143, 1156",
20190707111139,Laser,20,1800,1800,No,52,,,,,1,101,20,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1143, 1156",
20190707115021,Beam,20,,3600,Neutron,52,20190707115024,500,198.178,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1143, 1156","between these 2 runs, temp went up even without temp control, we lost about 15 mA."
20190707125741,Beam,20,,3600,Neutron,52,20190707125745,540,198.175,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1143, 1156","temp unstable today, going down very slowly after temp control off and often need ding to turn temp control off."
20190707140349,Beam,20,,3600,Neutron,52,20190707140354,510,198.173,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1143, 1156",
20190707150805,Beam,20,,3600,Neutron,52,20190707150810,510,198.177,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1143, 1156",
20190707160923,Beam,20,,3600,Neutron,52,20190707160927,510,198.18,0.941,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1143, 1156",
20190707171620,Beam,20,,3600,Neutron,52,20190707171626,560,198.173,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1143, 1156",
20190707181752,Beam,20,,3600,Neutron,52,20190707181758,540,198.18,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1143, 1156",
20190707191817,Beam,20,,3600,Neutron,52,20190707191822,560,198.175,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1143, 1156",
20190707202157,Beam,20,,3600,Neutron,52,20190707202201,580,198.178,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1143, 1156",
20190707212901,Beam,20,,3600,Neutron,52,20190707212902,500,198.178,0.94,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1143, 1156",
20190708085815,IV curve,120,,0,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,,
20190708090501,IV curve,100,,0,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,,
20190708091107,SC noise,100,,10,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,,
20190708091258,NM noise,100,,10,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,,
20190708091423,TS noise,100,,10,No,52,,,,,,,,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1148, 1146",
20190708091948,Laser,100,300,300,No,52,,,,,1,101,40,TES,Triangle,N/C,N/C,N/C,Time sync,"~30%, 1148, 1146",
